0.25,0.3,0.35
2000,2000,2000
2471.9,2586.1,2700.2
3185.1,3478.9,3784.5
5583.1,6267,6996.1
6789.1,7847.8,8990.2
8068.8,9528.6,11094
9297.4,11102,12981
10828,13043,15260
12189,14631,16900
13154,15462,17297
13751,15696,16943
14181,15739,16516
14577,15772,16191
14532,15348,15460
14184,14612,14459
14137,14417,14246
14040,14211,14047
13952,14052,13919
1167.4,1115.4,1134.6
1159,1133.8,1196.6
1742.2,1741.3,1894.5
1831,1894,2143.1
1986.8,2131.5,2493.5
2230.2,2480.1,2991
2618,3017.2,3744.6
3103.1,3702.1,4713.7
3697.8,4545.3,5910.4
4453.3,5630.7,7447.3
5333.2,6901.1,9209.6
6354,8361.7,11141
7489.1,9939.1,13073
8751.5,11615,14920
10051,13208,16415
11062,14177,16824
12446,15620,17920
2362.2,2436.2,2047.9
2757,2928.5,2516.4
4648.8,5054.2,4430.7
5545,6202.4,5626.1
6521.2,7482,7055.7
7933,9363.9,9225.2
9561.2,11527,11804
11232,13666,14411
13129,15921,17087
14831,17654,19027
16571,19325,20765
18428,20937,22317
18979,20754,21680
19386,20489,21076
19312,19855,20105
18907,18990,18967
18651,18445,18292
18177,17756,17497
1448.1,1316.6,1274.5
1500,1391.9,1398.9
2273.7,2143.9,2218.6
2429.2,2362.9,2548.7
2835.2,2876.5,3231.5
3497.2,3703.5,4327.9
4139.6,4535.8,5452.3
4923.7,5570.2,6854.1
5805.6,6750,8434.7
6635,7854.3,9838
7563.6,9073,11305
8444.4,10185,12502
9203.9,11057,13230
9899.7,11783,13710
10199,11895,13338
10744,12357,13525
11123,12560,13392
1142.1,987.52,680.17
1148.9,988.09,617.66
1705,1455.7,822.91
1765.9,1512.8,763.38
1956,1725.6,839.56
2236.4,2045.9,1000.2
2559.7,2431,1215
3000.3,2960.4,1532.9
3524.9,3611.5,1957.3
4071.5,4310.7,2453.5
4831.2,5297.1,3191.2
